x,1,2,3,4,5,6,7,8,9,10,F
-1.641593,-2.277939,0.848872,0.745374,-0.100335,-0.430662,-0.036136,0.290161,0.081402,-0.207998,-0.099670,-4.476798
-1.541593,-1.882349,1.056669,0.625221,-0.306571,-0.372463,0.167519,0.263193,-0.118679,-0.201760,0.095887,-3.963202
-1.441593,-1.467952,1.222339,0.449220,-0.464406,-0.223073,0.312654,0.112442,-0.246772,-0.042835,0.203286,-3.434964
-1.341593,-1.038887,1.339279,0.233091,-0.548922,-0.019067,0.348571,-0.091193,-0.225176,0.148507,0.123785,-3.019880
-1.241593,-0.599442,1.402826,-0.003860,-0.546775,0.189608,0.262722,-0.251938,-0.066991,0.227462,-0.069524,-2.745781
-1.141593,-0.154008,1.410446,-0.240465,-0.458304,0.351860,0.085096,-0.294193,0.131830,0.134278,-0.198912,-2.522241
-1.041593,0.292966,1.361837,-0.455591,-0.297477,0.427964,-0.122256,-0.198084,0.250684,-0.060525,-0.145422,-2.235773
-0.941593,0.737012,1.258935,-0.630020,-0.089685,0.399288,-0.286901,-0.008813,0.217477,-0.209524,0.041769,-1.860330
-0.841593,1.173694,1.105844,-0.748171,0.132266,0.272852,-0.351322,0.184603,0.052351,-0.199959,0.190557,-1.477154
-0.741593,1.598649,0.908666,-0.799490,0.333335,0.079613,-0.293017,0.291197,-0.144530,-0.039069,0.164149,-1.190368
-0.641593,2.007630,0.675262,-0.779393,0.481778,-0.133119,-0.132353,0.260837,-0.253741,0.151387,-0.013178,-1.024758
-0.541593,2.396552,0.414938,-0.689676,0.554159,-0.313258,0.074546,0.107801,-0.209037,0.227277,-0.178388,-0.904954
-0.441593,2.761529,0.138072,-0.538351,0.539051,-0.416701,0.255404,-0.095935,-0.037533,0.131168,-0.179590,-0.732755
-0.341593,3.098913,-0.144299,-0.338938,0.438838,-0.418121,0.347042,-0.254552,0.156738,-0.064206,-0.015677,-0.484130
-0.241593,3.405334,-0.420917,-0.109248,0.269342,-0.317170,0.317448,-0.293449,0.255933,-0.210990,0.162649,-0.230936
-0.141593,3.677730,-0.680755,0.130201,0.057323,-0.138565,0.176961,-0.194332,0.199883,-0.198101,0.191436,-0.068087
-0.041593,3.913379,-0.913453,0.358019,-0.163746,0.073966,-0.025345,-0.003818,0.022587,-0.035293,0.044218,-0.019353
0.058407,4.109927,-1.109734,0.553857,-0.358963,0.268387,-0.218796,0.188492,-0.168411,0.154224,-0.143654,-0.014539
0.158407,4.265410,-1.261774,0.700220,-0.497508,0.397098,-0.335816,0.292151,-0.257252,0.227028,-0.199451,0.040237
0.258407,4.378275,-1.363511,0.784035,-0.557507,0.428585,-0.335526,0.258407,-0.190048,0.128021,-0.071874,0.168989
0.358407,4.447393,-1.410889,0.797814,-0.529488,0.355140,-0.218026,0.103130,-0.007564,-0.067869,0.121784,0.301557
0.458407,4.472075,-1.402019,0.740326,-0.417875,0.194744,-0.024364,-0.100650,0.179509,-0.212398,0.203474,0.342954
0.558407,4.452072,-1.337255,0.616708,-0.240288,-0.013332,0.177809,-0.257093,0.257694,-0.196188,0.098091,0.268350
0.658407,4.387587,-1.219180,0.438001,-0.024765,-0.218144,0.317868,-0.292621,0.179565,-0.031507,-0.097477,0.149460
0.758407,4.279262,-1.052499,0.220168,0.194668,-0.369546,0.346887,-0.190525,-0.007486,0.157018,-0.203425,0.084654
0.858407,4.128179,-0.843858,-0.017331,0.383367,-0.430471,0.254728,0.001178,-0.189996,0.226714,-0.122345,0.100298
