x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,F
-2.141593,-2.639476,1.741591,0.879993,0.326822,-0.090772,-0.213371,-0.123086,0.018188,0.089988,0.067126,-0.000293,-0.046881,-0.042956,-0.005581,0.027011,0.029927,0.007617,-0.016304,-0.021910,-0.008162,0.009936,0.016528,0.008058,-0.005891,-0.012687,-5.584322
-2.041593,-1.846354,1.985499,0.877760,0.153666,-0.226774,-0.211163,-0.025041,0.101387,0.087821,-0.000354,-0.059055,-0.044771,0.007674,0.038896,0.024974,-0.009867,-0.027373,-0.014354,0.010226,0.019999,0.008085,-0.009845,-0.014912,-0.004151,0.009151,-4.748612
-1.941593,-1.034784,2.150251,0.797119,-0.043749,-0.307254,-0.135189,0.084782,0.123086,0.019193,-0.067508,-0.053282,0.014434,0.047062,0.018803,-0.023478,-0.029351,-0.000563,0.022826,0.015298,-0.008484,-0.018100,-0.004940,0.011813,0.012014,-0.001974,-3.991713
-1.841593,-0.212874,2.229279,0.645273,-0.234258,-0.312508,-0.011990,0.154730,0.070123,-0.063960,-0.072596,0.010718,0.055232,0.017504,-0.032504,-0.028296,0.011581,0.027518,0.003981,-0.020118,-0.012938,0.010190,0.015660,-0.000829,-0.013566,-0.005987,-3.350372
-1.741593,0.611162,2.219433,0.435787,-0.387783,-0.241249,0.115397,0.151906,-0.025376,-0.098710,-0.010939,0.063005,0.025593,-0.037697,-0.029852,0.019475,0.028674,-0.006528,-0.024636,-0.002290,0.019252,0.007811,-0.013492,-0.010708,0.007994,0.011567,-2.751937
-1.641593,1.429092,2.121105,0.187374,-0.480085,-0.110923,0.202473,0.077639,-0.105482,-0.058758,0.060775,0.046439,-0.036684,-0.037672,0.022356,0.031051,-0.013256,-0.025836,0.007213,0.021599,-0.003085,-0.018077,0.000219,0.015098,0.001777,-0.012547,-2.257928
-1.541593,2.232743,1.938215,-0.077777,-0.496592,0.046560,0.218820,-0.033144,-0.121604,0.025661,0.076613,-0.020876,-0.052179,0.017543,0.037452,-0.015082,-0.027900,0.013185,0.021358,-0.011675,-0.016684,0.010441,0.013233,-0.009411,-0.010615,0.008537,-1.812914
-1.441593,3.014086,1.678055,-0.335980,-0.434699,0.192644,0.158726,-0.128338,-0.063963,0.090660,0.022013,-0.065378,-0.001131,0.047057,-0.009625,-0.033185,0.014885,0.022438,-0.016918,-0.014050,0.016971,0.007534,-0.015795,-0.002557,0.013877,-0.001131,-1.423539
-1.341593,3.765312,1.350996,-0.564171,-0.304176,0.291562,0.043184,-0.163173,0.032477,0.087049,-0.052825,-0.038434,0.051360,0.007633,-0.040724,0.010387,0.027031,-0.018967,-0.013670,0.020759,0.002559,-0.018048,0.005358,0.012819,-0.009851,-0.006724,-1.102016
-1.241593,4.478917,0.970078,-0.741967,-0.125630,0.319095,-0.087442,-0.121265,0.109217,0.017561,-0.079096,0.030510,0.038352,-0.042974,-0.004218,0.034654,-0.016464,-0.017550,0.023130,0.000627,-0.019101,0.010689,0.009489,-0.014524,0.000651,0.011905,-0.795093
-1.141593,5.147770,0.550485,-0.853485,0.072750,0.268503,-0.187523,-0.022324,0.119707,-0.065216,-0.032647,0.066113,-0.023566,-0.030623,0.039290,-0.005484,-0.026069,0.023490,0.003160,-0.021165,0.013339,0.007256,-0.016526,0.006536,0.008891,-0.012352,-0.549429
-1.041593,5.765188,0.108946,-0.888763,0.259644,0.152172,-0.222097,0.087116,0.057585,-0.098640,0.043818,0.029467,-0.055430,0.026590,0.017575,-0.035430,0.017986,0.011497,-0.024566,0.013057,0.008000,-0.018015,0.009962,0.005815,-0.013763,0.007885,-0.314136
-0.941593,6.325002,-0.336936,-0.844651,0.405547,-0.001416,-0.179085,0.155584,-0.039468,-0.057414,0.079997,-0.039381,-0.016605,0.044849,-0.033316,0.000472,0.025019,-0.026453,0.008003,0.012722,-0.019997,0.010934,0.004801,-0.014285,0.011407,-0.000283,-0.104690
-0.841593,6.821619,-0.769386,-0.725089,0.487422,-0.154658,-0.073514,0.150879,-0.112580,0.027261,0.042627,-0.065193,0.043396,-0.002596,-0.028900,0.035497,-0.019447,-0.004681,0.020929,-0.021284,0.008644,0.006975,-0.015613,0.013220,-0.003060,-0.007432,0.075300
-0.741593,7.250076,-1.171163,-0.540757,0.492344,-0.270033,0.057737,0.075213,-0.117403,0.091306,-0.033934,-0.019762,0.048055,-0.046238,0.023492,0.004550,-0.023883,0.027659,-0.017513,0.001039,0.012803,-0.017977,0.013576,-0.003332,-0.006895,0.012191,0.261414
-0.641593,7.606093,-1.526249,-0.308120,0.419536,-0.319295,0.168820,-0.035827,-0.051010,0.086252,-0.079296,0.047265,-0.008570,-0.022141,0.036885,-0.034853,0.020842,-0.002447,-0.012971,0.020612,-0.019299,0.011176,-0.000366,-0.008780,0.013228,-0.012102,0.409646
-0.541593,7.886113,-1.820488,-0.047960,0.280492,-0.290383,0.220928,-0.130017,0.046324,0.015925,-0.051754,0.062641,-0.054265,0.034393,-0.010953,-0.009481,0.022666,-0.027028,0.023408,-0.014366,0.003260,0.006693,-0.013145,0.015032,-0.012614,0.007199,0.562883
-0.441593,8.087337,-2.042150,0.216484,0.097165,-0.190375,0.195861,-0.163058,0.115559,-0.066454,0.023371,0.009562,-0.030757,0.040541,-0.040609,0.033512,-0.022166,0.009411,0.002334,-0.011323,0.016586,-0.017933,0.015838,-0.011250,0.005375,0.000566,0.693690
-0.341593,8.207755,-2.182398,0.461590,-0.101502,-0.043756,0.102373,-0.119410,0.114697,-0.098542,0.077008,-0.053966,0.031975,-0.012703,-0.002851,0.014222,-0.021372,0.024603,-0.024468,0.021687,-0.017064,0.011414,-0.005496,-0.000040,0.004687,-0.008106,0.800600
-0.241593,8.246164,-2.235641,0.665464,-0.284145,0.113576,-0.026876,-0.019602,0.044262,-0.056055,0.059845,-0.058519,0.053930,-0.047337,0.039640,-0.031500,0.023414,-0.015751,0.008784,-0.002700,-0.002384,0.006408,-0.009369,0.011304,-0.012287,0.012423,0.903309
-0.141593,8.202180,-2.199756,0.809894,-0.421927,0.243100,-0.146737,0.089425,-0.053022,0.028853,-0.012340,0.000878,0.007109,-0.012622,0.016326,-0.018678,0.020005,-0.020544,0.020477,-0.019942,0.019048,-0.017885,0.016523,-0.015023,0.013434,-0.011798,0.957241
-0.041593,8.076243,-2.076174,0.881978,-0.493096,0.313105,-0.215338,0.156394,-0.118144,0.091926,-0.073179,0.059316,-0.048778,0.040584,-0.034090,0.028857,-0.024582,0.021045,-0.018089,0.015594,-0.013470,0.011650,-0.010079,0.008715,-0.007525,0.006482,0.999609
0.058407,7.869610,-1.869821,0.875278,-0.486416,0.306451,-0.208716,0.149809,-0.111601,0.085431,-0.066738,0.052933,-0.042459,0.034335,-0.027914,0.022761,-0.018569,0.015121,-0.012257,0.009859,-0.007837,0.006122,-0.004660,0.003410,-0.002336,0.001413,0.993471
0.158407,7.584347,-1.588924,0.790392,-0.402942,0.224767,-0.129183,0.072766,-0.037362,0.014284,0.001062,-0.011295,0.018007,-0.022215,0.024601,-0.025637,0.025666,-0.024942,0.023659,-0.021968,0.019993,-0.017831,0.015564,-0.013259,0.010971,-0.008746,0.942037
0.258407,7.223303,-1.244682,0.634903,-0.255852,0.088052,-0.004522,-0.038500,0.059540,-0.067673,0.067886,-0.063180,0.055510,-0.046220,0.036277,-0.026388,0.017070,-0.008694,0.001507,0.004345,-0.008803,0.011882,-0.013658,0.014258,-0.013843,0.012600,0.855381
0.358407,6.790087,-0.850818,0.422699,-0.068369,-0.070221,0.121718,-0.131659,0.120326,-0.098417,0.072295,-0.046021,0.022221,-0.002512,-0.012269,0.021904,-0.026663,0.027182,-0.024343,0.019159,-0.012666,0.005834,0.000512,-0.005741,0.009445,-0.011443,0.692505
0.458407,6.289026,-0.423035,0.172738,0.129909,-0.211301,0.205438,-0.162896,0.108124,-0.054680,0.010237,0.021430,-0.039405,0.044876,-0.040448,0.029487,-0.015513,0.001689,0.009555,-0.016733,0.019345,-0.017773,0.013056,-0.006608,-0.000086,0.005735,0.492431
0.558407,5.725128,0.021613,-0.092654,0.307676,-0.300648,0.217393,-0.117521,0.030335,0.030437,-0.061233,0.065462,-0.050779,0.026521,-0.001480,-0.017732,0.027569,-0.027617,0.020001,-0.008340,-0.003434,0.012111,-0.015879,0.014546,-0.009318,0.002254,0.214675
0.658407,5.104026,0.465400,-0.349770,0.436868,-0.316385,0.153407,-0.016874,-0.065854,0.092520,-0.076406,0.037957,0.002605,-0.030687,0.039944,-0.031995,0.013903,0.005428,-0.018644,0.022125,-0.016487,0.005545,0.005633,-0.012776,0.013828,-0.009346,-0.125771
0.758407,4.431926,0.890633,-0.575641,0.497089,-0.254661,0.035831,0.091709,-0.122097,0.084586,-0.021331,-0.031028,0.052667,-0.042938,0.015059,0.013206,-0.028381,0.026219,-0.011530,-0.005966,0.017156,-0.017709,0.009248,0.002478,-0.011075,0.012722,-0.521566
0.858407,3.715544,1.280358,-0.750092,0.478830,-0.130586,-0.094262,0.157160,-0.104278,0.012638,0.053355,-0.066105,0.035564,0.007716,-0.034825,0.033864,-0.012246,-0.012184,0.023883,-0.018268,0.002208,0.012336,-0.016519,0.009474,0.002506,-0.011038,-1.004705
0.958407,2.962037,1.619040,-0.857540,0.384974,0.025460,-0.191426,0.148696,-0.023205,-0.068873,0.078987,-0.028942,-0.026893,0.047066,-0.026897,-0.008415,0.029096,-0.023079,0.000677,0.017777,-0.018994,0.005253,0.010194,-0.015102,0.007380,0.004964,-1.527501
1.058407,2.178935,1.893176,-0.888386,0.230339,0.175273,-0.221720,0.070298,0.071944,-0.098263,0.031999,0.039849,-0.055054,0.017465,0.025682,-0.035054,0.010546,0.018131,-0.024190,0.006773,0.013600,-0.017640,0.004520,0.010651,-0.013389,0.003084,-2.131166
